Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Spon Rating,Ind Grp RS,PE Ratio,Vol- 50 Day Avg. (1000s)
PCLA,2.33,27,-3.72,-86,7,1,D+,13,E,,A,,23
SHEN,15.10,27,-0.98,-15,65,84,C+,14,D,C,A,,286
SPOK,11.13,27,0.36,-32,35,15,E,52,C,B,A,15,188
TDS,44.89,27,1.70,32,89,81,B-,79,D,B,A,118,936
TMUS,201.40,27,-1.40,-31,65,25,C+,67,B,B,A,21,"6,345"
AIRT,21.70,28,-0.46,-32,52,75,D+,22,E,,A,,2
CRGO,1.73,28,7.45,-60,27,13,C+,18,D,E,A,,153
FDX,361.63,28,0.65,-29,92,92,A,79,B,C,A,18,"2,002"
HKPD,0.57,28,0.26,-91,12,7,C-,3,C,,A,,44
UPS,98.18,28,0.28,-42,49,53,D,29,C,D,A,14,"6,950"
ADSE,10.76,29,-7.24,-73,37,22,D,50,E,,A,,9
ALNT,60.54,29,-2.07,-11,97,95,C+,95,C,B,A,28,180
AME,218.29,29,-0.16,-46,90,82,D-,84,A,C,A,29,"1,452"
AMSC,32.09,29,-1.72,-45,82,74,B,45,A,B,A,10,"1,148"
APWC,1.33,29,-3.62,-89,41,15,E,72,D,,A,10,7
AZZ,126.38,29,0.10,-45,92,87,C+,88,B,C,A,22,181
BEEM,1.47,29,-0.68,-71,20,19,B,11,E,B,A,,336
BW,15.72,29,5.01,-26,80,99,B,52,,D,A,,"4,274"
BWXT,214.98,29,1.02,-32,96,93,C+,87,A,C,A,54,"1,004"
CCTG,0.43,29,1.15,-86,5,1,D,7,D,,A,,219
DFLI,1.86,29,7.51,-44,11,7,C-,14,E,B,A,,480
ELBM,0.59,29,1.72,-64,17,9,E,38,,,A,167,"1,066"
ELPW,1.82,29,-6.67,-100,9,1,E,31,E,E,A,,"34,770"
EM,1.13,29,-0.88,-25,33,32,E,4,E,,A,56,84
ENGS,1.23,29,4.24,45,14,19,A-,1,,,A,,189
ENS,177.35,29,-0.29,-42,92,95,C,85,B,C,A,17,495
ENVX,5.06,29,1.81,-35,21,9,D+,15,D,C,A,,"6,141"
EOSE,4.97,29,-0.40,-47,18,13,C,14,,C,A,,"23,047"
EPOW,0.83,29,7.79,-61,45,19,B-,50,D,,A,,165
ETN,361.10,29,-1.22,-51,94,77,B-,91,A,B,A,30,"2,886"
EVGO,1.71,29,-3.39,-19,16,7,E,40,,B,A,,"4,487"
EZGO,1.26,29,0.00,-83,25,3,C,58,D,,A,,27
FELE,93.19,29,-0.46,-37,78,43,B-,86,B,C,A,22,380
FLUX,1.12,29,2.75,-86,20,11,B-,31,E,B,A,,346
FPS,28.87,29,-0.89,23,90,50,,77,A,,A,74,"4,722"
GNRC,194.09,29,-2.49,-61,65,91,D,24,C,D,A,31,"1,228"
GPUS,0.14,29,-6.67,501,22,4,C-,62,E,C,A,,"16,933"
GTES,22.04,29,-4.46,-18,80,59,B+,77,B,D,A,15,"2,714"
GWH,1.21,29,2.54,-68,23,10,D-,42,D,B,A,,559
HUBB,494.25,29,-1.23,-47,97,85,D+,92,A,C,A,27,584
IPWR,3.06,29,4.08,-75,27,16,C+,22,E,B,A,,98
LNKS,0.01,29,-35.16,427,5,1,E,1,D,,A,,"60,563"
MVST,1.45,29,-0.68,-38,14,6,C-,3,C,C,A,36,"4,058"
NVT,117.96,29,-2.72,6,99,93,C+,96,A,C,A,35,"2,454"
NVX,0.65,29,-8.45,-26,7,8,D-,11,E,,A,,653
OESX,9.25,29,2.10,-53,57,56,C-,71,E,C,A,,49
