Rank this Wk,3 Wks ago,6 Wks ago,Industry Group Name,Group Composite Rating,YTD % Change,Day's % Change
149,131,98,  Tobacco,..    ,-9.7,-0.1
150,156,129,  Bldg-Cment/Cncrt,69,-2.8,-1.1
151,159,174,  Leisre-Gamng/Equip,72,-10,0.6
152,148,158,  Medical Supplies,..    ,-10.3,0.2
153,172,195,  Comml Svcs-Hlthcre,..    ,-17.7,1.7
154,181,148,  Fin-Invest Bnk/Bkrs,74,-2.8,0.7
155,179,183,  Finance-Cmrcl Loan,..    ,-14.9,0.8
156,154,154,  Insrnce-Acc & Heal,..    ,-6.7,0.6
157,147,151,  Cmml Svcs-Cnsltng,67,-9.8,1.1
158,139,168,  Media-Periodicals,..    ,-8,0
159,164,165,  Media-Diversified,..    ,-6.2,0.6
160,163,178,  Fin-Mrtg&Rel Svc,64,-15,1.8
161,140,118,  Paper & Paper Produc,..    ,-6.5,-2.8
162,158,149,  Chemicals-Paints,..    ,-3,-2.6
163,123,70,  Retail-Specialty,61,-10.1,-0.2
164,135,75,  Retail-Dprtmnt Strs,..    ,-7.2,-0.8
165,138,105,  Auto Manufacturers,..    ,-17.2,-2.2
166,167,155,  Bldg-Wood Prds,..    ,-2.3,-1.6
167,183,179,  Rtail Whlsle Offc Sup,..    ,10,10
168,160,162,  Med-Resrch Eqp/Svc,..    ,-14.4,0.4
169,169,166,  Retail-Internet,65,-18.7,-0.1
170,173,184,  Retail-Cnsmr Elec,..    ,0.6,0.6
171,161,114,  Comml Svcs-Leasing,72,-4.8,-0.4
172,166,142,  Retl Whsle Bldg Prds,..    ,-6.1,-2.2
173,174,180,  Finance-Card/Pmtpr,63,-13.8,0.4
174,165,175,  Retail/Wsl-Auto Prt,..    ,-1.3,-0.8
175,180,173,  Comml Svcs-Stffng,..    ,-6.3,1.9
176,162,159,  Retail-Leisure Prds,..    ,-2.4,0
177,176,170,  Consumer Prod-Elec,..    ,-13.6,0.2
178,175,152,  Bldg-Rsidnt/Comml,..    ,-7.2,0
179,168,145,  Rtail-Hme Frnshngs,..    ,-17.3,-0.7
180,186,177,  Retail/Whlsle-Auto,63,-15.1,0.2
181,171,176,  Cmp Sftwr-Gaming,..    ,-16.9,0.7
182,182,164,  Med-Managed Care,..    ,-14.8,1.2
183,178,141,  Cmptr-Intgrtd Syst,..    ,-22.6,1.2
184,185,186,  Insurance-Brokers,..    ,-14.4,0.9
185,190,193,  Food-Dairy Products,..    ,-8,-1.9
186,184,187,  Compter Sftwr-Dsgn,62,-16.7,0.2
187,191,190,  Cmml Svcs-Mrkt Rch,..    ,-21.2,1.2
188,177,188,  Comptr Sftwr-Scrity,54,-18.8,2.2
189,187,181,  Comptr Sftwr-Fincl,60,-32,1.2
190,189,192,  Leisre-Trvl Bking,..    ,-21.2,0.2
191,188,171,  Auto/Trck-Rplc Prts,..    ,-14.3,-2.6
192,193,196,  Cmptr Sftwr-Edu,..    ,-37.7,3.2
193,194,160,  Cmp Sftwr-Dbase,..    ,-30,1.8
194,195,194,  Comptr Sftwr-Dsktp,..    ,-27.2,0.8
195,192,189,  Cmp Sftwr-Spc-Entr,61,-35.9,0.5
196,196,197,  Comptr Sftwr-Mdcl,..    ,-29.4,0.9
197,197,191,  Retail-Mail Order&Di,..    ,-56.9,-1
0,0,0,  S & P Midcap 400 Ind,..    ,3.1,0.1
0,0,0,  S & P 500 Index,..    ,-3.8,0.1
